Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Predicted Rating
Matlabi,1989.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,6.128999999999994
Matlabi Duniya,1936.0,134.0,Drama,,,Jayant Desai,Ram Apte,Unknown,Unknown,4.395633333333333
Matlabi Duniya,1961.0,134.0,Unknown,,,Radhakant,Dhumal,Ananth Kumar,Satish Vyas,5.897833333333332
Matlahi,1948.0,134.0,Unknown,,,Master Bhagwan,Unknown,Unknown,Unknown,6.120333333333337
Matrubhoomi,1949.0,134.0,Unknown,,,Ishwarlal,Unknown,Unknown,Unknown,5.897000000000005
Matsar,2017.0,112.0,"Drama, Family",,,Dave Jigar,Archan Trivedi,Pranshi Patel,Karm Vyas,5.209999999999999
Matsya Gandha,1934.0,134.0,Unknown,,,Maruti Rao,Tara,Unknown,Unknown,5.332000000000001
Matto Ki Saikil,2020.0,95.0,Drama,,,M. Gani,Anita Choudhary,Prakash Jha,Dimpy Mishra,6.090999999999999
Matwala,1958.0,134.0,Comedy,,,Anjali Devi,Ranjan,Unknown,Unknown,6.066225
Matwala Shair Ram Joshi,1947.0,132.0,Unknown,,,Baburao Painter,Shantaram Rajaram Vankudre,Unknown,Unknown,5.800000000000007
Matwale,1947.0,134.0,Unknown,,,Master Bhagwan,Unknown,Unknown,Unknown,6.7557500000000035
Matwali Jogan,1936.0,134.0,Unknown,,,K. Amarnath,Unknown,Unknown,Unknown,4.437966666666667
Matwali Meera,1947.0,134.0,Unknown,,,Baburao Patel,Mukhtar Begum,Nissar,Ranjit Kumari,6.951050000000002
Matwali Padosan,2003.0,134.0,Thriller,,,Poonam Dasgupta,Lekha Paul,Shakeela,Unknown,6.009433333333333
Matwali Sali,2001.0,134.0,Thriller,,,Bhaskar,Devika,Sharmili,Unknown,4.442000000000002
Mauj,1943.0,134.0,Unknown,,,Nanabhai Bhatt,Babubhai Mistry,Fearless Nadia,Unknown,5.640542857142856
Mauji Jeevan,1944.0,134.0,Unknown,,,Ghori,Unknown,Unknown,Unknown,5.1666666666666625
Mauqaa,1978.0,134.0,Romance,,,Unknown,Unknown,Unknown,Unknown,5.788433333333327
Mausam Badlaa Hain,1978.0,134.0,Romance,,,Unknown,Unknown,Unknown,Unknown,5.788433333333327
Mausam Suhana,1983.0,134.0,Romance,,,Vasant Dalal,Anjan Srivastav,Unknown,Unknown,5.559499999999996
Mausi,1958.0,134.0,Drama,,,Ramesh Deo,Sumati Gupte,Baburao Pendharkar,Unknown,6.380896428571427
Maut Ka Badla Maut,1985.0,142.0,"Action, Adventure, Drama",,,K.S. Rami Reddy,Kavita,Vijayalalitha,Ramana Murthi J.V.,6.988100000000003
Maut Ka Jungle,2003.0,134.0,Horror,,,Unknown,Unknown,Unknown,Unknown,6.254633333333329
Maut Ka Khel,2001.0,134.0,Horror,,,Rakesh Sawant,Asrani,Abhay Bhargava,Kiran Kumar,2.9662333333333373
Maut Ka Pinjra,2001.0,134.0,Horror,,,Brij Gopal,Anil Nagrath,Rakesh Pandey,Aman Sagar,3.760028571428572
Maut Ka Toofan,1935.0,134.0,Unknown,,,Gulzar,Unknown,Unknown,Unknown,5.029399999999996
Maut Ke Farishtey,1990.0,134.0,"Action, Thriller",,,Amrita Singh,Unknown,Unknown,Unknown,5.149142857142856
Maut Ke Saudagar,1986.0,134.0,Action,,,Kiran Kumar,Unknown,Unknown,Unknown,5.390733333333331
Maut Ki Dahshat,2004.0,134.0,Horror,,,Aman Sagar,Shabnam,Rajesh Sabharwal,Rajeev Raj,4.2272833333333315
Maut Ki Ghati,1987.0,134.0,Action,,,K.S.R. Das,Anuradha,Jayamalini,Bheema Raju,4.8719238095238095
Maut Ki Haveli,2001.0,134.0,Horror,,,A. Raja,Sohail Khan,Yamani,Deepak Shirke,3.6819666666666704
Maut Ki Lakeer,1991.0,134.0,Action,,,Unknown,Unknown,Unknown,Unknown,6.085333333333337
Maut Ki Lalkar,1989.0,134.0,Action,,,Kodanda Rami Reddy A.,Chiranjeevi,Suresh Oberoi,Radha,4.52535
Maut Ki Pukar,2001.0,134.0,Horror,,,Kanti Shah,Unknown,Unknown,Unknown,5.045978571428574
Maut Ki Raat,2000.0,71.0,Horror,,,Satyendra Gupta,Vijay Gupta,Satnam Kaur,Lalitesh,4.240428571428573
Maut Ki Sazaa,1991.0,134.0,Crime,,,Devendra Khandelwal,Ashok Kumar,Anita Raj,Alok Nath,5.036724186924188
Maut Phir Aayegi,2018.0,90.0,Horror,,,Agrawal Mukesh Narayan,Vinod Tripathi,Parveer Aggarwal,Neeta Yadav,6.530999999999999
Maut Se Mukabala,1990.0,134.0,Action,,,Anuradha,Bob Christo,Arti Gupta,Manik Irani,4.2670666666666675
May 16,1997.0,134.0,"Action, Comedy, Thriller",,,Dharma,Vamsi Yakasiri,Unknown,Unknown,5.815999999999998
Maya,1936.0,132.0,"Drama, Romance",,,P.C. Barua,Pahadi Sanyal,Jamuna,Krishna Chandra Dey,5.446000000000002
Maya Bazaar,1949.0,134.0,Fantasy,,,Datta Dharmadhikari,Durga Khote,Shahu Modak,Baby Shakuntala,5.395416666666661
Maya Bazaar,1932.0,134.0,Unknown,,,Khatun,Baburao Pendharkar,Unknown,Unknown,3.997033333333328
Maya Bazar,1984.0,138.0,Fantasy,,,Babubhai Mistry,Dara Singh,Rakesh Pandey,Rita Bhaduri,6.196716666666674
Maya Jaal,1962.0,134.0,"Action, Adventure, Fantasy",,,Babubhai Mistry,Bhudo Advani,Mumtaz Begum,Chitra,5.850416666666665
Maya Jaal,1933.0,134.0,Unknown,,,Bhudo Advani,Ameena,Bibbo,Paidi Jairaj,4.920350000000002
Maya Machhindra,1951.0,134.0,Fantasy,,,Aspi Irani,Trilok Kapoor,Amirbai Karnataki,Usha Kiran,6.806719047619052
Maya Machhindra,1960.0,134.0,"Adventure, Drama",,,Babubhai Mistry,Nirupa Roy,Manher Desai,Raj Kumar,5.656022222222225
Maya Mahal,1963.0,134.0,Unknown,,,Chandrakant,Bela Bose,Helen,Indira,5.774166666666664
Maya Mahal,1949.0,134.0,Unknown,,,K. Talpade,Fearless Nadia,John Cawas,Dalpat,6.107316666666668
Maya Nagari,1944.0,134.0,"Action, Fantasy",,,Dhirubhai Desai,Natwar Shyam,Rajkumari,Yashwant Dave,4.965299999999998
Maya Nagri,1957.0,134.0,Drama,,,Mahipal,Shakila,Murad,Krishna Kumari,6.767777777777778
Maya Sundari,1967.0,134.0,Unknown,,,A.S.A. Sami,Gemini Ganesan,Madhumati,Savitri,6.458666666666664
Mayday,2022.0,141.0,"Drama, Thriller",,,Ajay Devgn,Amitabh Bachchan,Rakul Preet Singh,Ajay Devgn,4.659958333333332
Mayuri,1983.0,134.0,Drama,,,Birendra,Abhi Bhattacharya,Vasant Choudhury,Jagdeep,5.855994805194805
Maza Aur Mauj Masti,2005.0,134.0,"Crime, Drama, Thriller",,,Sateesh B.K.,Mohan Juneja,Sureema Mukharjee,Raj Premi,4.54312619047619
Mazaa Masti Ka,1991.0,134.0,Thriller,,,Unknown,Unknown,Unknown,Unknown,5.9311428571428575
Mazaa. A.A.,2005.0,134.0,Thriller,,,Unknown,Unknown,Unknown,Unknown,5.872000000000006
Mazaaq,1943.0,134.0,Unknown,,,Zahur Raja,Tara,Unknown,Unknown,4.48533333333333
Mazdoor,1945.0,134.0,Unknown,,,Nitin Bose,Upendranath Ashk,K.N. Singh,Unknown,6.1421666666666646
Maze Le Lo,1975.0,134.0,Comedy,,,Master Bhagwan,Preeti Ganguli,Jagdeep,I.S. Johar,6.580958333333333
Mazhab,1996.0,134.0,Drama,,,Parvez Jamal,Vandana Bhardwaj,Shailesh Chandrakant,Ashutosh Gowariker,5.3355999999999995
Meena,1944.0,134.0,Unknown,,,Phani Majumdar,Dixit,Sashi Kapoor,Unknown,5.75835
Meenakshi Sundareshwar,1997.0,134.0,"Comedy, Romance",,,Vivek Soni,Sanya Malhotra,Abhimanyu Dasani,Ritika Shrotri,5.2391666666666685
Meenar,1954.0,134.0,Mystery,,,Hemen Gupta,Bharat Bhushan,Bina Rai,Pran,5.868314285714286
Meera Ke Girdhar,1992.0,134.0,Drama,,,Upasna Khosla,Viren Mathan,Parikshit Sahni,Himani Shivpuri,4.96175833333333
Meera Shyam,1976.0,134.0,"Drama, Fantasy",,,Abhi Bhattacharya,Paidi Jairaj,Alankar Joshi,Kanan Kaushal,6.4635
Meerabai,1947.0,134.0,Unknown,,,W.Z. Ahmed,Masud Pervaiz,Nirupa Roy,Tiwari,6.994164285714289
Meetha Jahar,1938.0,134.0,Drama,,,Sohrab Modi,Sohrab Modi,Naseem Banu,Gajanan Jagirdar,5.913666666666668
Meetha Zahar,2005.0,134.0,Thriller,,,Unknown,Unknown,Unknown,Unknown,5.872000000000006
Meethi Meethi Raten,1991.0,91.0,Thriller,,,Gopal Krishna,Poonam Dasgupta,Sukumaran,Unknown,6.798000000000002
Meethi Nazar,1935.0,134.0,Unknown,,,Harshadrai Sakerlal Mehta,M. Bhagwandas,Rampiary,Unknown,5.904566666666669
Mehak,1985.0,134.0,Family,,,Chander H. Bahl,Vijayendra Ghatge,Deepak Parashar,Shoma Anand,5.810383333333335
Mehak Sugandh,2021.0,134.0,Drama,,,Vivek Chauhan,Rk Vashist,Kafil Ahmed,Aryav,5.520940476190479
Mehandi,1947.0,134.0,Unknown,,,Sibtain Fazli,Ajit,Karan Dewan,Nargis,6.9088142857142865
Meharbaan,2005.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,5.757316666666667
Meharbani,1950.0,134.0,Unknown,,,K. Amarnath,Ajit,Gope,Indu Pal,6.321333333333337
Mehbooba,1965.0,134.0,Romance,,,Manher Desai,Leela Gupte,Anwar Hussain,Kamal Mehra,6.465249999999998
Mehfil,1957.0,134.0,Drama,,,Daljeet,Jankidas,Rehana,Unknown,6.549499999999999
Mehmaan,1972.0,134.0,Animation,,,Bhimsain,Unknown,Unknown,Unknown,6.88933333333333
Mehmaan,1953.0,134.0,Unknown,,,Ramanand Sagar,Prem Nath,Nimmi,Sajjan,6.881166666666665
Mehmil,1972.0,134.0,Unknown,,,Bibhuti Mitra,Farah,Jayant,Shiv Kumar,5.978550000000001
Mehroom,1997.0,134.0,Romance,,,Asif Khan,Siddharth Gupta,Diana Khan,Humayoon Shams Khan,5.602166666666668
Mehryaar,1997.0,134.0,"Drama, Romance",,,Jaiyanth Vasanth Sinha,Thalaivasal Vijay,Preeta Mathur,Atul Mathur,5.250499999999997
Mein Bikaaoo: On Sale,2004.0,134.0,Drama,,,B.R. Ishara,Ali Asgar,Shama Deshpande,Kalpana Iyer,6.049716666666674
Mein Hoon Pyassi Suhagan,2001.0,134.0,"Action, Crime, Drama",,,H.B. Singh,Krishna Bansal,Sumeet Batra,Archana K. Bera,4.587
Memories of Fear,1995.0,57.0,Drama,,,Dutta Madhusree,Atisha Furtado,Navjot Hansra,Harish Khanna,6.0585
Memsaab No.1,2002.0,134.0,Thriller,,,Rajendra Gupta,Johny Fever,Satnam Kaur,Ali Khan,4.934666666666669
Memsahab,2008.0,134.0,Thriller,,,Arshad Siddiqui,Shatakshi Gupta,Rufy Khan,Amit Misra,5.232674999999998
Menka,2001.0,134.0,Thriller,,,K.I. Sheikh,Ishrat Ali,Brij Gopal,Mohan Joshi,3.4524047619047606
Mera Bhai Mera Dushman,1967.0,129.0,"Drama, Family",,,Mohammed Hussain,Prem Nath,Shyama,Jagdish Kumar,6.402166666666667
Mera Challenge,1989.0,134.0,Unknown,,,Anil Nagrath,Tina Ghai,Unknown,Unknown,3.929999999999998
Mera Desh,1998.0,134.0,Action,,,R.V. Udayakumar,Monica Bedi,Revathi,Arjun Sarja,4.836304761904762
Mera Dost,1969.0,134.0,"Action, Drama, Family",,,Roshan Lal Malhotra,Mumtaz,Sheikh Mukhtar,Aruna Irani,6.106816666666671
Mera Dosti Tera Pyar,1977.0,134.0,Romance,,,Vijaya Choudhury,Geetanjali,Rajan,Unknown,6.041933333333332
Mera Farz Mera Karz,1992.0,134.0,Action,,,Kodanda Rami Reddy A.,Chiranjeevi,Radha,Silk Smitha,5.737252976190474
Mera Gaon,1942.0,134.0,Unknown,,,Aghajani,Unknown,Unknown,Unknown,5.206666666666664
Mera Gawah Bhagwan,1992.0,134.0,Drama,,,R. Raghu,Karthik,Kushboo,Unknown,5.701208333333332
Mera Geet,1946.0,134.0,Unknown,,,Mukri,Unknown,Unknown,Unknown,6.572000000000003
Mera Ghar Mere Bachche,1960.0,134.0,"Drama, Family",,,Sohrab Modi,Sohrab Modi,Subbiraj,Kumari Naaz,5.610674297924296
Mera Haq,1939.0,134.0,Unknown,,,Parshwanath Yeshwant Altekar,Usha Mantri,Baburao Pendharkar,Unknown,5.464333333333338
Mera Imaan,1934.0,134.0,Unknown,,,Nagendra Majumdar,Gohar,K. Narayan Kale,Unknown,5.6865000000000006
Mera Inteqaam,2000.0,134.0,Action,,,Unknown,Unknown,Unknown,Unknown,4.690333333333336
Mera Javai N.R.I.,1997.0,134.0,Family,,,Ajay Dixit,Unknown,Unknown,Unknown,6.010999999999997
Mera Jiwan,1976.0,134.0,Drama,,,Bidoo Shukla,Vidya Sinha,Dushyanath,Ambika Johar,6.416908333333336
Mera Kanoon Mera Insaaf,1995.0,134.0,Action,,,Unknown,Unknown,Unknown,Unknown,6.281083333333335
Mera Kaun?,2003.0,134.0,Mystery,,,Bharat Kapoor,Goga Kapoor,Rajendra Kaur,Shikhar Kumar,4.8017770923520935
Mera Khwab,1944.0,134.0,Unknown,,,Zebunissa,Unknown,Unknown,Unknown,5.1666666666666625
Mera Ladka,1938.0,161.0,Unknown,,,K. Narayan Kale,Shanta Hublikar,Ulhas,Mama Bhatt,6.625999999999998
Mera Munna,1948.0,134.0,Unknown,,,Vishram Bedekar,Leela Mishra,Motilal,Unknown,6.5815833333333345
Mera Munna,1967.0,134.0,"Drama, Family",,,Madhusudan,Manorama,Nutan,Rehman,6.19775
Mera Muqaddar,1988.0,134.0,Action,,,K. Pappu,Swapna,Amrit Raj,Tanuja,4.749976190476192
Mera Pati Meri Zindagi,1993.0,134.0,Drama,,,Sudhir Dalvi,Javed Khan,Sandhu Raj,Upasna Singh,5.561453787878789
Mera Punjab,1940.0,134.0,Unknown,,,Krishna Dev Mehra,Unknown,Unknown,Unknown,4.788666666666669
Mera Pyara,1935.0,134.0,Unknown,,,Ezra Mir,Vimala Vasishta,Unknown,Unknown,4.79343333333333
Mera Pyara Bharat,1994.0,134.0,Action,,,Rama Rao Tatineni,Tisca Chopra,Prabhu Deva,Puneet Issar,4.392600721500722
Mera Ram Kho Gaya,2019.0,134.0,Drama,,,Prabhash Chandra,Apoorvanand,Syeda Saiyidain Hameed,Jaya Iyer,5.303352994227995
Mera Saaya,2001.0,134.0,Horror,,,Aashnee,Biswajit Chatterjee,Shakti Kapoor,Shehzad Khan,3.610966666666671
Mera Sab Kuchh Tera,2002.0,134.0,Romance,,,Unknown,Unknown,Unknown,Unknown,6.2288000000000014
Mera Salaam,1957.0,134.0,Romance,,,Harbans,Bharat Bhushan,Bina Rai,K.N. Singh,5.656984920634922
Mera Salaam,1981.0,134.0,Drama,,,Altaf,Chandrashekhar,Arpana Choudhary,Nasir Hussain,7.093033333333331
Mera Shikar,1973.0,134.0,Action,,,Kamran,Ameeta,Anwar Hussain,Kamran,6.406700000000001
Mera Sona,2003.0,134.0,Thriller,,,Shakeela,Unknown,Unknown,Unknown,5.998833333333334
Mera Suhaag,1947.0,134.0,"Drama, Family",,,Amiya Chakrabarty,Kamala Kotnis,Sulochana Chatterjee,Arun,6.560783333333334
Mera Suhaag,1961.0,134.0,Drama,,,Hunsur Krishnamurthy,Arun,Sulochana Chatterjee,Kanta Rao,5.674924242424239
Mera Suhag,1987.0,138.0,"Drama, Family",,,Ajay Sharma,Rati Agnihotri,Pankaj Dheer,Deepti Naval,5.829559523809521
Mera Yaar Mera Dushman,1969.0,134.0,"Action, Drama, Family",,,Anil Ganguly,Mumtaz,Unknown,Unknown,6.3374333333333315
Mere Arman Mere Sapne,1963.0,134.0,Drama,,,Aravind Sen,Pradeep Kumar,Pran,Agha,6.050609523809527
Mere Bhagwan,1947.0,134.0,Unknown,,,Mohan Sinha,Madhubala,Surendra,Wasti,7.082330952380955
Mere Data Garib Nawaz,1994.0,134.0,Drama,,,Mohan Choti,Satish Kaul,Neelam Mehra,Raza Murad,6.032383333333327
Mere Desh Ki Dharti,2021.0,134.0,Drama,,,Faraz Haider,Inaamulhaq,Anupriya Goenka,Divyendu Sharma,6.822995238095245
Mere Ghar Bhi Aaja Na Maa,2019.0,134.0,Music,,,Prakash Tiwari Madhur,Unknown,Unknown,Unknown,6.536866666666665
Mere Gharib Nawaz,1973.0,134.0,Drama,,,Agha,Jalal Agha,Anwar Ali,Satish Arora,6.004799999999997
Mere Gunaah,2016.0,134.0,Drama,,,Nitin Trivedi,Pankaj Berry,Sahaj Bhadoria,Mohit Jain,5.308816666666663
Mere Jinvar Mere Guruvar,2021.0,134.0,Biography,,,Sunil Acharya,Bhagyashri,Ankita Lokhanda,Govind Namdeo,4.441033333333333
Mere Lal,1937.0,134.0,Unknown,,,Gunjal,Rafiq Ghaznavi,W.M. Khan,Unknown,6.181333333333336
Mere Lal,1948.0,134.0,Unknown,,,Bal Gajbar,Hansa Wadkar,Pratima Devi,Chandrakant,6.664083333333334
Mere Meharban,1992.0,134.0,Romance,,,Kewal Singh,Bharat Bhushan,Brahmachari,Sameer Khakhar,6.555316666666669
Mere Naina Sawan Bhadon,1995.0,134.0,Romance,,,Tinnu Anand,Goga Kapoor,Kiran Kumar,Naina,4.4585333333333335
Mere Qadam Tere Pyar Mein,1995.0,134.0,Romance,,,M.H. Adenwala,Unknown,Unknown,Unknown,5.926000000000003
Mere Raja,1941.0,134.0,Action,,,Moti,Kanta,Shankar Vazare,Eddie Billimoria,5.729133333333334
Mere Rang Mein Rangne Wali,1997.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,6.287299999999999
Mere Sajan,1941.0,134.0,Action,,,A.H. Essa,Jayant,Rajkumari,Urmila,5.622990476190479
Mere Sartaj,1975.0,137.0,"Crime, Drama, Romance",,,Abdul Rashid Kardar,Satish Kaul,Zaheera,Alka,6.379000000000002
Meri Aai,2020.0,134.0,"Drama, Family, Music",,,Saurabh Karanje,Datta Mirkute,Sneha Maghade,Charlie Rajput,4.252833333333333
Meri Aankhen,1939.0,134.0,Drama,,,Dwarka Khosla,Khursheed,Mazhar Khan,Ishwarlal,5.790666666666668
Meri Asha,1950.0,134.0,Unknown,,,Murad,Unknown,Unknown,Unknown,5.986333333333339
Meri Bahen,1962.0,134.0,Unknown,,,A.S.A. Sami,Nambiar,Padmini,M.G. Ramachandran,5.947499999999998
Meri Bhool,1937.0,134.0,Unknown,,,Indurani,S.B. Nayampalli,Unknown,Unknown,4.259966666666666
Meri Chunouti,2001.0,134.0,Action,,,Richa Pallod,Soundarya,Srikanth,Unknown,4.667500000000002
Meri Dhoti Tera Ghagra,2001.0,134.0,Comedy,,,Anamika,Satnam Kaur,Yogendra Konkar,Satish Shah,4.592316666666667
Meri Hukumat,2003.0,134.0,Action,,,Meena,Prakash Raj,Srihari,Unknown,6.165576190476189
Meri Ishq Ki Kahani,2001.0,134.0,Romance,,,Kumar Sohoni,Mohan Agashe,Ramesh Bhatkar,Ashwini Bhave,5.036583333333338
Meri Izzat Bachaao,2001.0,134.0,Thriller,,,Anil Dhanda,Jack Gaud,Vicky Kaushik,Mushtaq Khan,3.5945476190476175
Meri Izzat Bachao,1984.0,134.0,Drama,,,Qamar Narvi,Kamini Bhatia,Anu Dhawan,Benjamin Gilani,6.221579329004324
Meri Jaan,1931.0,134.0,Unknown,,,Prafulla Ghosh,Mehboob Khan,Master Vithal,Lala Yaqoob,4.938223809523808
Meri Jaan Ki Baazi,2001.0,134.0,Action,,,Unknown,Unknown,Unknown,Unknown,4.575333333333336
Meri Janeman,1992.0,148.0,Romance,,,Chander Sharma,Aparajita,Poonam Dasgupta,Shakti Kapoor,5.517999999999998
Meri Kahani,1948.0,134.0,Drama,,,Keki Mistry,Surendra,Munawar Sultana,Pratima Devi,7.270633333333333
Meri Kahani,1982.0,134.0,Drama,,,Asha Dutta,Tom Alter,Master Bhagwan,Dilip Dhawan,6.130022236097237
Meri Khwahish,1941.0,134.0,Unknown,,,Sharifa,Unknown,Unknown,Unknown,4.8676666666666675
Meri Parchaien,2000.0,134.0,Horror,,,Shakti Kapoor,Shehzad Khan,Prithvi,Renu Rattan,3.8267119047619054
Meri Pyaas Bhujao,1990.0,134.0,Thriller,,,Leena Das,Uma Maheshwari,Unknown,Unknown,5.015142857142855
Meri Pyari Nimmo,1993.0,134.0,Drama,,,Rajendra Gupta,Ravi Jhankal,Pallavi Joshi,Raghuvir Yadav,5.624123989898992
Meri Shaan Hai Vardi,2018.0,120.0,Drama,,,Raaja Thakur,Sara Khan,Raza Murad,Rajesh Sharma,6.170466666666667
Meri Shadi Karao,2013.0,134.0,Romance,,,Syed Noor,Gurdeep Mehndi,Radhika Vaid,Manoj Pahwa,4.66066666666667
Meri Zanzeer,1982.0,134.0,Action,,,S.P. Muthuraman,Kamal Haasan,Radha,Unknown,4.513731746031744
Mettee,1982.0,134.0,Drama,,,Mahendran.,Unknown,Unknown,Unknown,5.536831154956152
Mezaan,1978.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,5.872714285714282
Mhara Gaon Mhara Desh,2004.0,72.0,Drama,,,HansRaj Ralhan,Santram Banjara,Uttar Kumar,Dev Sharma,5.321500000000001
Middle Class Crime,2022.0,134.0,Comedy,,,Jyoti Kapur Das,Nikita Dutta,Sunny Singh Nijjar,Unknown,4.622533333333332
Midnight,1972.0,134.0,Romance,,,Nasreen,Unknown,Unknown,Unknown,6.088499999999997
Midnight Delhi,2018.0,76.0,"Crime, Drama, Mystery",,,Raakesh Rawat,Mukesh S. Bhatt,Sahdev Raj Singh Hooda,Trushant Ingle,4.958333333333331
Midnight Mail,1939.0,134.0,Action,,,K. Amarnath,Yasmin,Nazir,Gulab,5.554533333333337
Mighty Ka Mighty Attack,2015.0,134.0,Animation,,,Shyamal Chaulia,Unknown,Unknown,Unknown,6.126357142857143
Mighty Khiladi Raju,2014.0,66.0,Animation,,,Rajiv Chilaka,Unknown,Unknown,Unknown,7.174999999999995
Mighty Raju vs Mighty Clone,2013.0,134.0,Animation,,,Rajiv Chilaka,Unknown,Unknown,Unknown,6.516000000000008
Mike: The Journey,2015.0,99.0,Adventure,,,Piyush Pande,Siddharth Jichkar,Leonard Leo,Leonard Naidu,5.3363999999999985
Milaap,1937.0,134.0,Unknown,,,Abdul Rashid Kardar,Indira Devi,M. Ismail,Prithviraj Kapoor,5.941233333333332
Milan,1958.0,134.0,Drama,,,Kedar Kapoor,Ajit,Helen,Daisy Irani,6.3014337301587275
Milan,1947.0,134.0,Romance,,,Nitin Bose,Unknown,Unknown,Unknown,6.537750000000002
Milan Ki Aag,1991.0,134.0,Thriller,,,K.R. Rangan,Rita Bhaduri,Madan Jain,Meera Madhuri,5.390650505050505
Milan Ki Pyas,1989.0,134.0,Thriller,,,Unknown,Unknown,Unknown,Unknown,5.280999999999995
Milenge Kabhi,1984.0,134.0,Romance,,,Satish Bhakri,Vijayendra Ghatge,Satish Kaul,Sharmila Tagore,6.520160606060605
Millions of Cards,2021.0,90.0,"Drama, War",,,Dhananjay Galani,Unknown,Unknown,Unknown,7.0323
Mimi,2021.0,134.0,Drama,,,Laxman Utekar,Evelyn Edwards,Kriti Sanon,Sai Tamhankar,5.6429404761904784
Minister,1959.0,134.0,Drama,,,Sohrab Modi,Roopmala,Unknown,Unknown,5.827857142857141
Minnal Murali,2021.0,134.0,"Adventure, Comedy, Fantasy",,,Basil Joseph,Tovino Thomas,Basil Joseph,Aju Varghese,3.9596666666666662
Minoo,1977.0,134.0,Drama,,,Pushraj,Baby Moon Moon,Radha Saluja,Dulari,6.364229761904762
Minus 1,2005.0,134.0,Drama,,,Renny Mascarenhas,Sheetal Agashe,Seema Biswas,Pratik Grant,5.029828571428566
Miracle,2019.0,134.0,Thriller,,,Rudrapatla Venugopal,Suman Rana,Hari Vishnu,Sandeep Bharadwaj,4.358333333333333
Mi'raj,2017.0,134.0,Adventure,,,Tariq Umarr Khan,Sapan Narula,Tumul Balyan,Sapan Narula,4.063
Mirza Ki Shaadi,1989.0,134.0,Romance,,,Devinder Kanwar,Raj Babbar,Sudha Chopra,Satish Kaul,4.752128571428571
Mirza Sahiban,1933.0,134.0,Unknown,,,Nagendra Majumdar,Khurshid Begum,Kamlabai Gokhale,Kashinath,4.951016666666668
Miss,2009.0,134.0,Thriller,,,Salim Shah,Sheetal Bedi,Pankaj Berry,Deepa Bhandari,4.6268452380952345
Miss 1933,1933.0,176.0,"Crime, Drama",,,Chandulal Shah,Gohar,Mehtab,Eddie Billimoria,5.888000000000004
Miss 58,1958.0,134.0,Comedy,,,Karan Dewan,Ram Mohan,Kumari Naaz,Om Prakash,6.653758333333334
Miss Anara,2007.0,134.0,Drama,,,Yogesh Bharadwaj,Arun Bakshi,Narendra Bedi,Moushumi Chatterjee,6.0174285714285665
Miss Bombay,1957.0,134.0,"Drama, Family, Romance",,,Kedar Kapoor,Nalini Jaywant,Ajit,Rehman,6.606141272616274
Miss Chaalbaaz,1972.0,134.0,Action,,,Jayamalini,Jyothi Lakshmi,Unknown,Unknown,4.765799999999996
Miss Chalbaaz,1961.0,134.0,Thriller,,,Agha,Shah Agha,Helen,Rajan Kapoor,6.358890476190473
Miss Coca Cola,1955.0,134.0,Romance,,,Kedar Kapoor,Shammi Kapoor,Geeta Bali,Kamal Kapoor,6.609750000000003
Miss Goodnight,1960.0,134.0,Unknown,,,Jugal Kishore,Khurshid Bawra,Paidi Jairaj,Nishi,6.236699999999997
Miss Himmatwali 88,1988.0,134.0,Action,,,Kapil Dev,Kapil Karzan,Madhavi,Unknown,5.685499999999998
Miss Hunterwali,1959.0,134.0,Action,,,Aakkoo,Nihal,Roopmala,Krishna Kumari,5.703383333333332
Miss Khiladi-The Perfect Player,2016.0,112.0,Crime,,,Dheeraj Bharti,Sanna Kapoor,Shiv Kikod,Ankita Parmar,4.691000000000001
Miss Laila,2002.0,134.0,Thriller,,,Shakeela,Unknown,Unknown,Unknown,6.036999999999999
Miss match India,1997.0,134.0,Thriller,,,U.R.Jameel,Anupam Kher,Jacqueline Fernandez,Vikrant Massey,5.35658333333333
Miss Punjab Mail,1958.0,134.0,Action,,,Daljeet,Hiralal,Nishi,Shammi,6.089283333333334
Miss Toofan Mail,1980.0,134.0,Action,,,Manjula,Vijayalalitha,Unknown,Unknown,4.845133333333331
Miss Toofan Mail,1958.0,134.0,Action,,,B.J. Patel,Habib,Ranjan Kapoor,Mehroo,5.947483333333331
Missing Persons Report,2012.0,134.0,Horror,,,Karan Shah,Freishia Bomanbehram,Pravishi Das,Vijay Tilani,4.134799999999999
Mission London (Hindi),1997.0,134.0,Action,,,Jakee Patel,Pritesh Patel,Khushi Shah,Kaajal Vashisht,5.146380952380949
Mission Majnu,1997.0,134.0,Drama,,,Shantanu Bagchi,Sharib Hashmi,Rashmika Mandanna,Sidharth Malhotra,5.191599999999998
Misthi,1997.0,134.0,Horror,,,Anjanikumar Tripathi,Unknown,Unknown,Unknown,5.7405
Mita De Bindiya Utha De Bandook,2000.0,134.0,Action,,,Hemant Kamal,K.T. Anandrao,Junior Amitabh Bachchan,Kishore Anand Bhanushali,4.7482333333333395
Mitrata Ki Yatra,1955.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,6.352
Mitti,1947.0,134.0,Unknown,,,Khurshid Begum,M. Bhagwandas,Unknown,Unknown,6.102416666666673
